event_type,seq_id,time_stamp
event_1,device_16,0.0
event_2,device_16,0.11799823863146200
event_1,device_16,5.659389366162820
event_2,device_16,5.95293457966603
event_1,device_52,13.19839630408020
event_2,device_52,13.329041321023400
event_1,device_16,31.275908577045900
event_2,device_16,31.517242185186400
event_1,device_16,44.78792253774320
event_2,device_16,44.78792253774320
event_1,device_16,45.65115430057770
event_2,device_16,45.91221229972840
event_1,device_16,62.5100478310739
event_2,device_16,62.6369800432788
event_1,device_16,93.34552255666570
event_2,device_16,93.70636271220900
event_1,device_52,145.8208489790490
event_1,device_16,146.06021015362100
event_2,device_52,146.06218258718900
event_2,device_16,146.1836615681600
event_1,device_16,149.3982717672140
event_2,device_16,149.51975074818500
event_1,device_16,156.30493821276700
event_2,device_16,156.42641719373800
event_1,device_16,180.35162865874400
event_2,device_16,180.59644303688700
event_1,device_16,181.80195087624700
event_2,device_16,182.04328448438800
event_1,device_16,187.53710506088900
event_2,device_16,187.90722729743500
event_1,device_52,200.3564451271870
event_2,device_52,200.5942979653260
event_1,device_52,216.98723197002000
event_2,device_52,217.34261892199200
event_1,device_16,219.03775554530200
event_2,device_16,219.15761017247100
event_1,device_16,232.52261947784900
event_2,device_16,232.76557743979200
event_1,device_16,233.3677512311390
event_2,device_16,233.48725777854100
event_1,device_52,244.34993912524500
event_2,device_52,244.5893003274800
event_1,device_16,244.83805957276000
event_2,device_16,245.0754483137630
event_1,device_16,278.6251140370230
event_2,device_16,278.8660995930600
event_1,device_16,293.3572550766240
event_2,device_16,293.4807064911640
event_1,device_16,307.8589689152260
event_2,device_16,308.0968217533640
event_1,device_16,342.32442608645000
event_2,device_16,342.6832938084250
event_1,device_16,369.04365427977000
event_2,device_16,369.2830154820050
event_1,device_16,375.31554370225700
event_2,device_16,375.43899514445900
event_1,device_16,375.8013436364360
event_2,device_16,376.03722404100600
event_1,device_16,377.02193481247400
event_2,device_16,377.38625576568300
event_1,device_16,379.4062645601810
event_2,device_16,379.5292518775860
event_1,device_16,389.3314576343420
event_2,device_16,389.5724431627160
event_1,device_16,389.6884689401160
event_2,device_16,389.9352557794900
event_1,device_16,396.03125011967500
event_2,device_16,396.1526130832790
event_1,device_16,439.7311989042300
event_2,device_16,440.09006665386700
event_1,device_16,450.2983626038620
event_1,device_16,450.2983626038620
event_2,device_16,450.5559398330100
event_2,device_16,450.5559398330100
event_1,device_52,450.92571398978900
event_2,device_52,451.05253015696400
event_1,device_16,477.60154856161500
event_2,device_16,477.7249999761550
event_1,device_16,512.3296880857910
event_2,device_16,512.4495427129610
event_1,device_52,544.9962816101760
event_2,device_52,545.2392395997810
event_1,device_52,548.7188526651230
event_2,device_52,548.9616946096970
event_1,device_16,558.1164765374120
event_1,device_16,558.11844897098
event_2,device_16,558.2399279519510
event_2,device_16,558.2399279519510
event_1,device_16,561.9133040744030
event_2,device_16,562.1526652489750
event_1,device_16,584.9772561824800
event_1,device_16,584.9842177224850
event_2,device_16,585.1130063232280
event_2,device_16,585.2310045341960
event_1,device_16,587.9471679930960
event_2,device_16,588.2047452222440
event_1,device_16,596.0031858055100
event_1,device_16,623.2011363479740
event_2,device_16,623.3334057463820
event_1,device_16,636.7908875883820
event_2,device_16,637.1502194074910
event_1,device_52,646.5277708366660
event_2,device_52,646.7853480381520
event_1,device_16,689.0454169428730
event_2,device_16,689.3010217384520
event_1,device_16,696.771573477662
event_2,device_16,696.771573477662
event_1,device_16,701.9211455440690
event_2,device_16,701.9231179776370
event_1,device_16,708.9035768357640
event_2,device_16,709.0323654365060
event_1,device_52,720.6349431765360
event_2,device_52,720.8871832194810
event_1,device_52,744.01262898626
event_2,device_52,744.1414176146650
event_1,device_16,745.7263297162490
event_2,device_16,745.9638345022840
event_1,device_16,747.5227568323850
event_2,device_16,747.7640904681890
event_1,device_52,771.8182065513050
event_2,device_52,772.180555043282
event_1,device_52,776.3765112611700
event_2,device_52,776.4978742247730
event_1,device_16,785.1793870069140
event_2,device_16,785.674352977066
event_1,device_16,793.0721565430020
event_2,device_16,793.3096613013740
event_1,device_16,797.1428049024860
event_2,device_16,797.2626595296560
event_1,device_16,868.5663010254720
event_2,device_16,868.6896364503060
event_1,device_16,892.9433168738700
event_2,device_16,893.1931203584500
event_1,device_16,897.1333557633900
event_2,device_16,897.1353281969580
event_1,device_16,901.9457569324000
event_2,device_16,902.1847700272060
event_1,device_16,906.0182617357480
event_2,device_16,906.2572748305540
event_1,device_16,933.604202489568
event_2,device_16,933.7290462231740
event_1,device_16,938.5739346065370
event_2,device_16,938.8222297546820
event_1,device_16,959.2717730214840
event_2,device_16,959.2807070227200
event_1,device_16,964.0639857300120
event_2,device_16,964.3142533117260
event_1,device_52,971.0321458342680
event_2,device_52,971.2804409824140
event_1,device_16,992.1882860754790
event_2,device_16,992.3101131362160
event_1,device_16,1028.2436444823900
event_2,device_16,1028.483121701990
event_1,device_16,1040.07131223721
event_1,device_16,1040.1962719881800
event_2,device_16,1040.198244449420
event_2,device_16,1040.198244449420
event_1,device_16,1054.279480862310
event_2,device_16,1054.524295240450
event_1,device_16,1056.5207507941700
event_2,device_16,1056.7709023861800
event_1,device_16,1087.3541370411600
event_1,device_16,1087.3557613949700
